Korean,English
눈빛,glitter/shine of ones eyes
눈앞,before one's eyes
눕다,to lie down
뉴스앵커,news anchor
느껴지다,to feel
느끼다,"to feel, realize"
느낌,"feeling, impression"
늘다,"increase, improve"
늘리다,"to increase, to lengthen"
늘어나다,"to extend, to grow longer, to increase"
늙다,"To be (get, grow) old"
능동적,active
능력,ability
늦다,to be late
늦잠 자다,to sleep in late
다가서다,to go near
다녀가다,to (go and) drop by
다루다,"to handle, manage, conduct"
다리다,to iron (clothes)
다리미,an iron
다리미질하다,to iron
다만,"simply, merely"
다소,more or less
다습하다,to be humid
다시,again
다양성,diversity
다양하다,"to be diverse, varied"
다양해지다,"to diversify, to become varied"
다음,"next, following"
다음부터,from next time
다지다,to chop up
다치다,to be injured or hurt
다툼,a quarrel
다하다,to use up
다행,luck
단계,step or stage of a process.
단골,a regular customer
단념하다,to abandon
단단하다,"to be hard, solid, firm"
단색,a solid color
단순,simplicity
단순하다,to be simple-minded
단순히,simply
단어,vocabulary word
단위,a unit
단지,"simply, merely"
단체,"group, party, organization, association, body"
닫다,to close
달걀,eggs
달다,to be sweet
달라지다,"to become different, change"
달려가다,"to run, to dash"
달리,differently
달리다,to run
달빛,moonlight
닮다,to resemble
담,"wall, fence"
담기다,"to be filled, bottled"
담다,"to put into, include"
담당,undertaking
담당자,person in charge
담요,blanket
답변,answer to a problem
답장,written reply
닷새,five days
당근,a carrot
당분간,for the time being
당시,in those days times
당연하다,"to be fair,just,proper"
당장,"""at once!"", on the spot"
당하다,to suffer
닿다,"to brush against, reach"
대강,"roughly, briefly"
대개,"generally, in general, mostly"
대규모,large scale
대기,atmosphere
대기실,waiting area
대기하다,to standby or wait
대낮,broad daylight
대단히,incredibly
대략,"generally,approximately,roughly, nearly"
대로,"in accordance with, in the way, manner of"
대법원,supreme court
대보름,15th January (by the lunar calendar)
대부분,"majority, mostly, for the most part"
대비,provision
대사,"dialogue, lines"
대사관,an embassy
대신,instead of
대여섯,about 5 or 6
대응,response (to sth)
대입,university entrance exam
대접,hospitality
대접하다,"to offer hospitality, treat"
대중,"the general public, the masses"
대중교통,mass transportation
대중문화,popular culture
대중적,popular culture
대책,"a countermeasure, legislation"
대체로,on the whole
대통령,president of a country
대표,a representative
대학원생,graduate student
대한항공,Korean air
대회,"conference, convention, tournament"
더,more
더구나,"besides, still more"
더더욱,more and more
더럽다,to be dirty
더욱,increasingly
더욱더,more and more
더하다,"to add, sum up"
던지다,"to throw, pitch"
덜,less
덧붙이다,to make an additional statement
덮다,"to close (a book, lid)"
덮이다,to be covered
데려오다,to bring a person
데려가다,to take a person along
데려오다,to bring a person/animal somewhere
데리다,to accompany/bring/take someone with
데우다,"to warm, heat up"
도대체,"what the hell!, what on earth"
도리어,on the contrary
도마,cutting board
도망,"escape, flight, desertion"
도망가다,"to escape, to run away"
도사,a saint
도심,"downtown, heart of the city"
도자기,"ceramics, pottery"
도착,arrival
도착시간,arrival time
도착탑승구,arrival gate
독립,independence
독립기념일,independence day
독립하다,to be independent
독서하다,to read for enjoyment
독일,Germany
독창적이다,"creative, original"
독특하다,to be unique
독하다,to be potent
돈,money
돌다,to turn
돌려주다,to give back
돌리다,"to dial, revolve"
돌멩이,"a small rock, piece of stone"
돌보다,to take care of
돌아가다,to return (somewhere)
돌아가시다,to pass away
돌아보다,to look back
돌아오다,"to return, come back"
돕다,to help
동,bronze
동갑,same age
동경하다,to admire
동그라미,circle
동그랗다,to be round
동기,"motive, motivation"
동물원,zoo
동서,"the husband of one's wife's sister, brother in-law"
동시,"same time, simultaneously"
동안,"while, during"
동양학,Asian studies (major)
동작,"movements, an action"
동전,a coin
동쪽,east
동창,alumni
동화책,"storybook, fairy tales"
돼지,a pig
돼지고기,pork
되돌아보다,to look back
되살리다,"to revive, recall"
되풀이되다,"to repeat, reiterate"
두께,thickness
두다,to be placed
두드리다,to knock (on a door)
두렵다,"to be afraid, fearful, frightened, scared"
두리번거리다,"to stare about, look around"
두세,two or three
두통,(literal) headache
둘러싸다,to surround
둘러싸이다,to be surrounded
둥글다,"to be round, circular"
뒤꿈치,the heel
뒤편,backside
뒷골목,back street
뒷문,back door
드디어,finally
드러나다,to be exposed
드물게,rarely
드물다,"To be rare, uncommon"
들다,to be included
들려오다,"to be heard, to come to one's ear"
들르다,To stop by
들어가다,"to enter, to go in"
들어서다,"to enter, occupy"
들어올리다,to raise
들어주다,"to listen, to grant"
들여놓다,to set foot in
들여다보다,to look into
들이마시다,to breathe in
들이켜다,"to drink, gulp, chug"
듯이,as if to be
등록,register
등록금,registration fee
등장하다,to appear
따님,daughter (honorific form)
따다,"to pick, pluck"
따뜻하다,to be warm
따라다니다,to follow around
따라서,"accordingly, therefore"
따로,separately
따르다,to follow
따스하다,to be warm or balmy
딱,accurately
딴,different
땀,"sweat, perspiration"
땅값,price of land
땅바닥,ground
땅콩,peanuts
땅콩버터,peanut butter
때때로,occasionally
때로,"according to circumstances, on occasion"
때리다,to beat
때문에,because of
떠나가다,"to leave, depart, go away"
떠들다,to make a noise
떠들썩하다,to be clamorous
떠오르다,to come to mind; to rise to the surface
떠올리다,to recall something
떨다,"to tremble, shiver"
떨어지다,"to fall, to drop"
떼다,"to take off, detach"
또다시,once more
또한,"also, and"
똑똑하다,"to be intelligent, smart, clever"
똑바로,straight ahead
뚜렷하다,to be obvious
뚱뚱하다,To be fat
뛰어나가다,to run outside
뛰어나다,"to be excellent, outstanding"
뛰어내리다,to jump off
뛰어놀다,to romp about
뛰어다니다,to run around
뛰어오다,to come running
뛰어오르다,"to jump up, go up"
뜨다,to float
뜯어지다,To be torn
뜻밖에,"unexpectedly, contrary to what you thought"
뜻하다,"to mean, signify, imply"
띄다,"to catch sight of, meet the eye of"
럭비,rugby
레슬링,wrestling
로션,lotion
룸서비스,room service
리마콩,Lima bean
마련,a preparation
마련하다,"to prepare, to arrange"
마르다,to be extremely skinny
마음가짐,determination
마음속,one's mind
마음씨,temper
마찬가지,"sameness, similarity"
마찰,friction
마치다,"to finish, complete, conclude"
마침,Coincidentally
마침내,at last
막다,to block
막히다,"to be blocked, congested"
만나다,to meet
만들다,to make
만땅이다,to fill to the limit
만세,cheer
만약에,in the case that/in case
만일,"just in case, if"
만점,full marks
만족,"satisfaction, contentment"
만족스러운,satisfactory
만족스럽다,to be satisfactory
만족하다,to be satisfactory
만지다,to touch
만큼,to the extent
만하다,to be worthy
만화가,cartoonist
말,horse
말씀하다,to speak (honorific)
말을걸다,to address
말투,"way of speaking, accent"
망고,mango
망치다,"to spoil, to ruin"
맞은편,"the opposite side, the other side"
맞춤법,spelling rules
맡기다,"to deposit, to entrust"
맡다,"to be in charge of, responsible for"
매다,to tie
매달,monthly
매달다,"to hang up, suspend"
매달리다,"to be entangled, dependent"
매번,every time
매스컴,mass communication
매체,a medium or media (of something)
맨발,bare feet
맵다,to be spicy
머리말,"prologue, preface"
머리카락,hair
머릿속,in one's head
머무르다,"to stay, remain"
먹고살다,to make one's livelihood
먹다,to eat
먹물,ink
먹히다,to be eaten
먼지,dust
멀쩡하다,"to be brazen, impudent, hypocritical"
멈추다,"to stop, to halt, to cease, to calm down"
멍청이,idiot
멎다,"to stop, die down"
메다,to wear (on one's shoulders)
메뚜기,grasshopper
며느리,one's daughter in law
면담,personal conversation
면도하다,to shave
면접,job interview
멸치,anchovies
명단,"list, roll, register, directory"
명령어,a command word
몇몇,some
몇십,several tens (of a quantity)
모금,fundraising
모기,mosquito
모델,model
모래,sand
모레,the day after tomorrow
모르다,"to not know, to be unaware of"
모습,appearance; shape
모시다,"to accompany (honorific form), to care for"
모양,"a shape, a style"
모여들다,to gather
모으다,to gather something
모이다,"to gather (money, crowds)"
모임,"a social gathering, a meeting, a party, an assembly."
모조리,"all, without exception"
모집,recruitment
모집하다,to recruit
모퉁이,"corner, a turn, turning"
목,"the neck, the throat"
목숨,the breath of life
목요일,Thursday
목적,"aim, purpose, goal"
목젖,uvula
목캔디,throat lozenges
목표,a goal
몰려오다,to come flocking
몸매,one's shape or figure
몸무게,body weight
몸살,"illness from fatigue, body aches"
몸속,interior of the body
몹시,severely
못되다,to go wrong
못지않다,to be just as good as
묘사,depiction
무겁다,to be heavy
무관심,indifference
무관심하다,"to be indifferent, unconcerned, apathetic, uninterested,to have no regard for the feelings of others."
무기,"weapons, arms"
무너지다,to collapse
무대,"stage, arena"
무더위,"sweltering weather, high humidity"
무덥다,to be both hot and humid
무렵,"circa, around that time"
무사하다,"to be without mishap, safe, secure"
무수하다,"To be countless, myriad"
무시하다,"to disregard,ignore,neglect,"
무역,foreign trade
무용,"dancing, dance performance"
무용가,dancer
무의미하다,To be meaningless
무이자,interest free
무지개,rainbow
무책임하다,To be irresponsible
무척,very
묵다,to lodge somewhere
문득,all of a sudden
문어,octopus
문의하다,to inquire
문자,"a letter, character"
문장,a sentence
문지르다,to rub
문학,literature
문학적,literary
문화,culture
문화재,cultural assets
문화적,cultural
묻다,to ask
묻히다,to get buried
물,water
물론,"of course, needless to say"
물리학,physics (major)
물질,"matter, substance"
물질적,"material, physical"
물체,solid object
뭘요,you're welcome (lit: for what?)
미래에,in the future
미루다,to postpone
미리,"beforehand, in advance, ahead of time"
미만,less than
미식,American style
미신,superstition
미용사,a hair stylist
미움,hatred
미혼,"unmarried, single"
민간,"private, civilian, non-governmental,"
민감하다,To be sensitive
민속촌,folk village
민주주의,democracy
민주화,democratization
믿다,"to believe, to trust"
밀가루,flour
밀다,to push / shove
밀리다,to be behind schedule
바,unit of pressure
바가지,a rip-off
바구니,a basket
바깥쪽,outside
바뀌다,to be changed
바나나,Banana
바닷물,sea water
바라다,"to hope for, to wish"
바라보다,to look at/watch/stare at
바람,"wind, breeze"
바람직하다,"to be desirable, to be advisable"
바베큐,barbecue
바보,fool
바이러스,virus
바지,pants
바퀴,a wheel
바탕,basis or foundation of sth.
반 바지,short pants
반기다,to rejoice
반대,"opposite, objection"
반대로,conversely
반대편,opposite side
반도,a peninsula
반드시,"certainly, by all means"
반면,in contrast
반응,"reaction, response"
반죽,dough
반짝거리다,"to shimmer, sparkle"
반짝이다,"to twinkle, shine"
반찬,side dishes
반팔셔츠,short sleeved shirt
받아들이다,"to accept, to take something in mentally, to adopt"
발가락,toe
발견되다,to be discovered
발견하다,to discover
발굴,excavation
발권창구,ticket counter
발끝,"tip of the toes, tiptoe"
발달,"development, growth"
발달되다,to be developed
발달하다,to develop
발등,top of the foot
발매인,ticket agent
발목,an ankle
발바닥,the sole of a foot
발생하다,"to happen, occur"
발야구,kick ball
발음하다,"to pronounce, to articulate"
발전,development
발전하다,to develop
발톱,toenail
발표,announcement
발휘하다,"to demonstrate, display"
밝아지다,to get bright.
밝혀지다,"to become known, to be identified"
밝히다,to clear up
밟다,to step on
밤낮,night and day
밤늦다,To be late at night
밤새,all night long
밤새우다,to stay up all night
밤중,midnight
밤하늘,night sky
밥솥,rice cooker
방면,direction
방문,a visit
방문하다,to visit
방바닥,the floor of a room
방법,"method, a way"
방송국,"broadcasting company, TV station"
방송사,broadcasting company
방식,"a way, method, manner"
방안,plan / idea
방울,a bell
방지하다,to prevent
방해하다,"to disturb, to hinder"
방향,direction
배경,"setting, backdrop"
배고프다,to be hungry
배관공,plumber
배꼽,belly button
배부르다,"to be full, stuffed"
배송하다,to deliver sth
배우,"an actor, an actress"
배우다,to learn
배우자,a spouse
배치,"placement, arrangement"
배편,surface mail (by ship)
백과사전,encyclopedia
백만,one million
백성,"the people, the populace"
뱀,snake
뱉다,to spit out
버섯,mushroom
버스 정류장,Bus stop
번개,"lightning, thunderbolt"
번거롭다,to be complicated or troublesome
번역하다,to translate
번지,house number
번지수,street number
벌,mw. for clothes
벌,punishment
벌레,"insect, bug"
범위,the scope of something
범죄,a crime
법률,law
법적,legal
법칙,"a rule or law (nature, physics)"
법학,law (major)
베개,pillow
베다,to cut
벨트,belt
변경,"change, alteration"
변명,an excuse
변신,a disguise
변하다,"to transform, change into"
변화,"change, transformation"
변화하다,"to change, transform"
별,a star
별일,"odd thing, particular thing"
병실,sick room
보관,safekeeping
보기,an example
보내오다,to deliver
보도,a report
보도하다,to inform
보라색,purple
보름,"15 days, half moon cycle"
보름날,a full moon
보살피다,to take care of / to look after
보수,"payment, recompense"
보수적,"close-minded, conservative"
보안,security
보완하다,"to supplement, complement, make up for, supply"
보이다,"to be seen, to come in sight"
보자기,a wrapping cloth for food or diaper
보존하다,"to preserve, conserve, maintain"
보충하다,to supplement
보험,insurance
보험을 들다,To insure an item
보호,protection
보호하다,to protect
복도,a hallway
복사,a copy
복사기,photocopier
복사하다,to make a copy
복수,revenge
복숭아,a peach
복습,a review of lessons
복습하다,to review one's lesson
복통,stomach ache
본격적,"earnest, the real deal"
본래,"originally, naturally"
본사,head office
본질,essence
볼,cheek
볼일,something to do
봄,spring
봉사하다,"to service, offer"
봉지,a bag or packet
봉투,an envelope
부끄러움,"shyness, sense of shame"
부끄럽다,"to be ashamed, embarrassed"
부담,burden
부딪히다,to be bumped into
부랑자,a hobo
부러워하다,to envy
부러지다,to be broken
부럽다,to be envious
부문,"sector, field, classification"
부분,"part, section"
부상,an injury
부실하다,"to be weak, or poor (in structure, health)"
부엌,kitchen
부위,"part, region, spot"
부인,"a married woman, wife"
부재,absence
부정,"denial, negation"
부족,shortage
부지런하다,to be diligent
부지런히,diligently
부채,hand fan
부척하다,"to be lacking, not enough"
부치다,"to mail (a letter, parcel)"
부친,"a father,a paternal parent"
부피,"amount, volume"
북쪽,north
분리하다,"to separate, divide"
분명하다,to be obvious
분명해지다,to become clear
분명히,"clearly, obviously, for sure"
분별있다,to be sensible
분석,analysis
분석하다,to analyze
분야,"a field, one's specialty"
분위기,"atmosphere, mood"
분주하다,"to be busy, urgent, preoccupied"
분필,chalk
분홍색,pink
불,dollars
불가능하다,To be impossible
불과하다,"to be simply, just, to be nothing but"
불교,Buddhism
불구하다,to disregard
불다,to blow
불리다,"to be swollen, to be bulging"
불법,unlawfulness
불안,"anxiety, uneasiness"
불안하다,to be anxious
불완전하다,to be imperfect
불이익,"drawback, disadvantage, hardship"
불편하다,"to be uncomfortable, inconvenient"
불평,"complaint, discontent, dissatisfaction"
불평등하다,to be unequal
불필요하다,to be unnecessary
불행하다,to be unfortunate
불확실하다,to be uncertain
붉다,"to be crimson, red"
붐비다,"to be congested, crowded"
붓다,"to swell, bloat"
붙다,"to stick, attach"
붙들다,"to catch, start, capture, help"
붙이다,"to attach, stick on, paste"
붙잡히다,"to be caught, be taken hold of, be grasped"
블라우스,blouse
블라인드,blinds
비,rain
비,"fee, charge, expense"
비결,"a secret, a key"
비교,a comparison
비교적,relatively
비기다,"to end in a tie, to be a draw"
비누,soap
비닐랩,plastic wrap
비닐봉지,plastic bag
비다,"to be empty, to be vacant"
비둘기,pigeon
비디오,video
비로소,for the first time
비롯하다,to be headed by / started by
비만,obesity
비바람,rainstorm
비상,emergency
비상구,exit
비상출구,emergency exit
비서,a secretary
비용,"costs, expenses"
비우다,"to empty, to clear, to exhaust"
비웃다,to ridicule or make fun of
비자,Visa
비추다,to reflect
비치다,"to shine, to be reflected"
비키다,to get out of the way
비판,criticism
비판적,critical
비품실,office supply room
비하다,to compare
비행장,airfield
빈둥거리다,to loiter
빗방울,raindrops
빗줄기,a streak (continuation) of rain
빛나다,"to shine, to sparkle"
빠뜨리다,to omit
빠르다,"to be fast, quick"
빠져나가다,to sneak away
빠지다,"to fall out, deflate, drain"
빨다,to suck sth
빼놓다,"to omit, exclude, leave a person out"
빼다,"to pick out, exclude"
뺏다,to take away
뽑다,"to pull out, select"
뿌리,a root
