Sanskrit,English
उद्दण्ड,"rude, having long staff, rebellious, unbound"
उद्देश्यम्,purpose
उद्धरति,"to quote, to resque"
उद्यमः,effort
उद्यमशीलः,hardworking
उद्यानम्,garden
उद्यानपालः,gardener
उद्योगः,profession
उन्नतः,"high, raised"
उन्नयति,to lift
उन्मत्त,mad
उपकरणम्,apparatus
उपकरोति,"to favour, to benefit"
उपकारः,benefaction
उपग्रहः,satellite
उपचारः,treatment
उपचारिका,nurse
उपतापः,"troubling, pain"
उपदिशति,to advise
उपदेशः,preaching
उपधानम्,pillow
उपनेत्रम्,spectacle
उपरि,"on, above"
उपरिष्टात्,above
उपलः,stone
उपलब्धिः,achievement
उपविशति (उप + विश्),to sit
उपस्थित,present
उपायः,"device, remedy"
उपायनम्,gift
उपहसति (उप + हस्),to ridicule
उपाहारः,"refreshment, light food"
उर्वारुकम्,muskmelon
उल्लेखः,mention
उष्ट्रः,camel
उष्ण,hot
उष्णीकरोति (उष्ण + कृ),to heat
उष्णीषः,turban
उरुकम्,"trouser, pantaloon"
ऊर्णा,wool
ऊर्णनाभिः,spider
ऋच्छति (ऋ),"to go, to get"
ऋणम्,debt
ऋतुः,season
ऋषभः,bull
ऋषिः,sage
एक,one
एकत्र,at one place
एकदा,once upon a time
एकवारम्,once
एकाकिन्,alone
एकीकृत,"unified, gathered"
एकैकशः,one by one
एडका,(she) sheep
एतत्,this
एतादृश,of this kind
एतावत्,this much
एला,cardamom
एव,only
एवम्,"thus, in this manner, so"
एषः,this (m)
एषा,this (f)
ऐतिह्यम्,history
ऐन्द्रजालिकः,magician
ऐरावतः,Indra's elephant
ऐश्वर्यम्,"prosperity, wealth"
ओदनः / ओदनम्,boiled rice
ओम्,yes
ओष्ठः,lip
ओघः,"flood, flow of water"
और्णम्,woollen
औषधम्,medicine
कः,who
कक्ष्या,class (m)
कक्षा,class (f)
कटः,mat
कटाहः,a frying pot
कटु,bitter
कठिन,difficult
कठोर,"hard, cruel"
कणिका,a very small particle
कण्ठः / कण्ठम्,throat
कण्डूयनम्,itching
कति,how many
कथयति (कथ ),to tell
कथनम्,saying
कथम्,"in which way, how"
कथा,story
कदली,"the plantain, banana"
कदा,when
कदाचन / कदाचित्,some time
कदापि,any time
कन्दुकः / कन्दुकम्,ball
कन्या,girl
कपाटिका,almirah
कपोतः,pigeon
कपोलः,cheek
कमलम्,lotus
कम्पते (कम्प्),"to shake, to tremble"
कम्पनम्,trembling
कम्बलः,blanket
करणम्,"a instrument, doing"
करुणा,"pity, kindness, compassion"
कर्णः,ear
कर्तयति (कर्त्),"to slacken, to cut"
कर्तनम्,cutting
कर्त्तव्यम्,"duty, work"
कर्षणम्,"drawing, ploughing"
कलङ्कः,"a spot, a mark"
कलशः,a pitcher
कलहः,quarrel
कला,art
कलिका,bud
कविः,poet
कविता,"poetry, poem"
कशा,whip
कषाय,astringent
कष्टम्,"pain, difficulty"
कसति (कस्),to go
काकः,crow
काङ्क्षा,wish
काचः,glass
काण्डः / काण्डम्,"a section, a part"
कादम्बिनी,row of clouds
कारकम्,case (in grammar)
कारणम्,"cause, reason"
कार्यम्,work
कालः,time
काव्यम्,"poetry, literary writing of a poet"
काशते (काश्),to shine
काष्ठम्,wood
कासते (कास्),to cough
किङ्किणी,a small bell
किञ्चित्,a little
किन्तु,but
किम्,what
कियत्,how much
किरणः,a ray
कीटः,"a worm, an insect"
कीदृशः,what kind of
कीर्त्तनम्,chanting
कुक्कुटः,cock
कुक्कुटी,hen
कुक्कुरः,dog
कुञ्चिका,key
कुट्टणम्,thrashing (powdering)
कुटुम्बम्,family
कुण्डलम्,an ear-ring
कुतः,from where
कुतूहलम्,curiosity
कुत्र,where
कुत्रचित्,some where
कुमारः,boy
कुम्भकारः,potter
कुलम्,lineage family
कुशल,"skilful, clever"
कुशलिन्,"happy, well"
कूष्माण्डः,a kind of pumpkin
कूपः,well
कूर्चः,brush
कूर्दनम्,jumping
कूर्मः,tortoise
कूलम्,bank of a river
करोति (कृ),to do
कृत्रिम,artificial
कृपण,miser
कृपा,"compassion, favour"
कृश,thin
कर्षति (कृष्),"to plough, to pull"
कृषकः,farmer
कृष्ण,black
कृष्णफलकम्,black-board
केशः,hair
कैवर्तः,fisherman
कोकिलः,cuckoo bird
कोणः,"a corner, angle"
कोपः / क्रोधः,anger
कोमल,soft
कोलाहलः,noise
कोषः,"treasure, dictionary"
कोष्ठः,a room
कौमुदी,moon-light
कौशेयम्,silk
क्रन्दनम्,weeping
क्रमशः,gradually
क्रयणम्,purchasing
क्रिया,"activity, action, a verb"
क्रीणाति (क्री),to purchase
क्रीडनकम्,toy
क्रीडा,play
क्लेशः,"trouble, pain"
क्वथितम्,"boiled liquid recipi, sambhar"
क्षणम्,"a while, for a moment"
क्षमा,"forgiveness, patience"
क्षालयति (क्षाल्),to wash
क्षुरपत्रम्,a blade
क्षेत्रम्,field
क्षेमः,welfare
खगः,bird
खङ्गः,sword
खण्डः,a piece
खनति (खन्),to dig
खननम्,digging
खनित्रम्,spade
खर्वः,"a large number (10,000,000,000)"
खलः,a wicked person
खलु,"certainly, indeed"
खल्वाट,bald
खादति (खाद्),to eat
खिन्न,sad
खेदः,"sorrow, depression"
खेलति (खेल्),"to move, to play, to sport"
गगनम्,sky
गच्छति,to go
गजः,elephant
गणयति (गण्),to count
गणः,group
गदा,club
गन्धः,smell
गभीर,"deep, serious"
गर्जति (गर्ज),to roar
गर्जनम्,"roaring, a roar, thunder"
गर्तम्,"whole, pit"
गर्दभः,ass
गवेषकः,investigator
गायकः,singer
गायिका,female singer
गीतम्,song
गुम्फनम्,stringing together
गुल्मः,"a cluster of trees, bushes"
गुहा,cave
गुञ्जनकम्,carrot
गृहम्,house
गृह गोधिका,house lizard
गृहजनः,member of the family
गृह्णाति (ग्रह्),"to take, to hold"
गायति (गै),to sing
गोपालकः,"cowherd, one who looks after the cows"
गोशाला,cowshed
ग्रन्थः,book
ग्रामः,village
ग्रामीणः,villager
ग्राहकः / ग्राहिका,customer
ग्रीवा,neck
घटः,"pitcher, pot"
घटना,an incident
घटी,watch
घण्टानादः,sound of a bell
घरट्टः,grinding stone
घोटकः,horse
जिघ्रति (घ्रा),to smell
चक्रम्,wheel
चञ्चुः,break
चटकः,sparrow
चटका,she-sparrow
चतुर,clever
चन्दनम्,the sandal wood
चन्द्रः,the moon
चरति (चर्),to walk
चरित्रम्,"character, behaviour"
चर्चति (चर्च्),to discuss
चर्चयति (चर्च्),"to pursue, to study"
चर्वति (चर्व्),to eat
चलति (चल्),"to shake, to walk"
चषकः,"a cup, a glass"
चिनोति (चि),"to collect, to pick"
चिकित्सकः,physician
चिकित्सा,treatment
चित्रम्,picture
चित्रकारः,painter
चित्राङ्कनम्,painting
चिन्तयति (चिन्त्),"to remember, to think"
चिन्तनम्,thinking
चिन्ता,"anxiety, thought"
चिह्नम्,"mark, symbol"
चोरयति (चुर्),to steal
चीत्करोति (चीत् + कृ),to shout
चुल्लिः,"hearth, oven"
चूर्णम्,powder
चोरः,thief
छत्रम्,umbrella
छादयति (छद्),to cover
छात्रः,"boy student, a student"
छात्रा,girl student
छात्रावासः,hostel
छाया,shadow
छिनति (छिद्),to cut
छुरिका,knife
जटा,matted hair
जायते (जन्),to take birth
जनः,person
जनकः,father
जननी,mother
जन्तुशाला,zoo
जपति (जप्),to repeat in low voice or mentally
जपः,muttering prayer
जम्बीरम्,lemon
जलम्,water
जल्पति (जल्प्),"to speak, to patter, to pratle"
जल्पनम्,loose talk
जलाशयः,pond
जवनिका,a curtain
जागरूकः,"alert, vigilant"
जानु,knee
जालम्,a net
जिज्ञासा,desire to know
जिह्वा,the tongue
जीवति (जीव् ),to live
जानाति (ज्ञा),to know
ज्ञानम्,knowledge
ज्येष्ठ,the eldest
ज्योतिषम्,astrology
ज्वरः,fever
झटति,quickly
झषः,a fish
टङकः,an axe
टङककः,typist
डमरुः,musical instument
ढक्का,drum
तक्षकः,carpenter
ताडयति (तड्),"to strike, to beat"
